"Today is Christmas Eve of 1937. What is the date tomorrow in MM/DD/YYYY?
Options:
(A) 12/11/1937
(B) 12/25/1937
(C) 01/04/1938
(D) 12/04/1937
(E) 12/25/2006
(F) 07/25/1937",(B),"Tomorrow's date would be 12/25/1937, option (B)."
"In the UK, people usually put the day before the month when formatting the date. Therefore, today is 02/01/1987 to them. What is the date a month ago in MM/DD/YYYY?
Options:
(A) 12/02/1986
(B) 12/01/1986
(C) 03/02/1986
(D) 12/02/2032
(E) 12/02/2062
(F) 02/06/1987",(A),"If today is 02/01/1987, then a month ago would be 01/02/1987. However, we need to convert this to MM/DD/YYYY format. So the answer is (A) 12/02/1986."
"Jane and John married on Jan 2, 1958. It is their 5-year anniversary today. What is the date one week from today in MM/DD/YYYY?
Options:
(A) 01/16/1961
(B) 01/09/1961
(C) 01/09/1963
(D) 03/09/1960
(E) 07/09/1960
(F) 02/28/1961",(B),"Today's date is Jan 2, 1963, which is 5 years after Jan 2, 1958. One week from today will be Jan 9, 1963. So the answer is $\boxed{\textbf{(C) }01/09/1963}$."
"Jane scheduled 3 apointments with 5 poeple for tomorrow (Tue, 7/9/1972). What is the date one week ago from today in MM/DD/YYYY?
Options:
(A) 07/09/1972
(B) 12/01/1972
(C) 07/01/2008
(D) 05/13/1972
(E) 07/01/1972
(F) 08/12/1972",(E),"Today's date is unknown, but we can calculate the date one week ago from 07/09/1972: - Start with 07/09/1972 - Subtract 7 days: 07/02/1972 - The answer is (E) 07/01/1972, since July 2nd is a Sunday, and one week before that would be Sunday, July 1st, 1972."
"Today's meeting is rescheduled to 11 am tomorrow, 10/16/1924. What is the date one week from today in MM/DD/YYYY?
Options:
(A) 10/22/1944
(B) 10/22/1924
(C) 10/07/1924
(D) 10/21/1924
(E) 08/22/1925
(F) 11/21/1924",(B),"One week from 10/16/1924 is 10/23/1924.   Therefore, the answer is not listed among the given options."
"Jane visits the bookstore on the 16th of each month starting from the October of 2009. It is her 5th visit to the bookstore today. What is the date one year ago from today in MM/DD/YYYY?
Options:
(A) 08/16/2009
(B) 02/16/2009
(C) 02/16/2004
(D) 03/13/2009
(E) 01/26/2009
(F) 02/15/2009",(B),"Since Jane visits the bookstore every 16th of the month, we can find the date of her first visit by adding 16 days to the last day of September 2009: September 30, 2009 + 16 days = October 16, 2009.  Since Jane visits the bookstore every month, we can find the date of her visit one year ago by subtracting one year from today's date and checking which visit that would be. Today is in 2020, so one year ago would be 2019.  2019 is 10 years after 2009, so Jane had made 10 visits to the bookstore by the end of September 2019, and her 5th visit was in March 2019 (10 visits - 5 visits = 5 visits before September 2019). Therefore, her 5th visit in 2019 was on March 16, 2019.  To find the date one year before this, we subtract one year from March 16, 2019, giving us March 16, 2018. Therefore, the answer is $\boxed{\text{(D) }03/13/2009}$."
"On May 9th, 2017 Jane bought 40 eggs. She ate one per day. Today she ran out of eggs. What is the date 24 hours later in MM/DD/YYYY?
Options:
(A) 06/19/2017
(B) 07/17/2017
(C) 06/20/2017
(D) 06/18/2017
(E) 06/15/2017
(F) 07/10/2017",(A),"Jane had 39 eggs left after the first day, then 38 after the second day, and so on until she finished the last egg on day 40. The last day with eggs was on June 17th, 2017. Therefore, 24 hours later would be June 18th, 2017, which is answer choice (D)."
"Tomorrow is 11/12/2019. What is the date yesterday in MM/DD/YYYY?
Options:
(A) 11/10/2076
(B) 11/10/2019
(C) 09/10/2019
(D) 11/06/2019
(E) 11/11/2019
(F) 11/17/2019",(B),"To find the date yesterday, we need to subtract one day from 11/12/2019. Therefore the correct answer is (E) 11/11/2019."
"Jane thinks today is 6/18/2019, but John thinks today is 6/19/2019. Jane is correct. What is the date yesterday in MM/DD/YYYY?
Options:
(A) 06/17/2063
(B) 05/18/2019
(C) 05/20/2019
(D) 06/17/2019
(E) 05/13/2019
(F) 06/08/2019",(D),"If Jane thinks it is 6/18/2019 and John thinks it is 6/19/2019, then John is one day ahead of Jane. Therefore, yesterday's date would be June 17, 2019. The answer is $\boxed{\textbf{(D)}\ 06/17/2019}$."
"The first day of 2019 is a Tuesday, and today is the first Monday of 2019. What is the date one year ago from today in MM/DD/YYYY?
Options:
(A) 01/08/2018
(B) 01/07/2018
(C) 01/02/2018
(D) 01/12/2018
(E) 05/07/2017
(F) 10/29/2017",(B),"Since today is the first Monday of 2019, it must be January 7, 2019.  One year ago from today was in 2018, which is not a leap year, and has 365 days. Therefore, 52 weeks ago from today was Monday, January 8, 2018.   Therefore, the date one year ago from today was $\boxed{\textbf{(A)}\ 01/08/2018}$."
"Yesterday was 12/31/1929. Today could not be 12/32/1929 because December has only 31 days. What is the date today in MM/DD/YYYY?
Options:
(A) 01/08/1930
(B) 01/06/1930
(C) 01/01/1930
(D) 12/31/1929
(E) 10/01/1930
(F) 02/27/1930",(C),"Since yesterday was 12/31/1929 and today is not 12/32/1929, it must be 01/01/1930, the first day of the new year. Therefore, the correct option is (C) 01/01/1930."
"Today is Apr 10, 1985. Jane's appointment will be 3 days later. What is the date one week ago from today in MM/DD/YYYY?
Options:
(A) 05/13/1985
(B) 04/03/1985
(C) 03/10/1986
(D) 04/01/1985
(E) 04/13/1985
(F) 04/12/1986",(B),"One week ago from Apr 10, 1985 is Apr 3, 1985.   Jane's appointment will be on Apr 13, 1985 (3 days after Apr 10).   Therefore, the answer is $\boxed{\text{(B)} \ 04/03/1985}$."
"Jane quited her job on Mar 20, 2020. 176 days have passed since then. What is the date one year ago from today in MM/DD/YYYY?
Options:
(A) 09/20/2019
(B) 10/01/2019
(C) 10/24/2019
(D) 09/12/1970
(E) 09/12/2019",(E),"To find the date one year ago from today, we need to subtract one year (365 days) from today's date. Since today is September of 2020, one year ago would have been September of 2019.   To narrow it down further, let's count the days backwards from today. If 176 days have passed since Jane quit her job on March 20th, 2020, then we can subtract 176 from today's date to get March 20th, 2020.   Now we just need to go back one year from March 20th, 2020 to get March 20th, 2019. However, we want the date in MM/DD/YYYY format, so the answer is $\boxed{\textbf{(A)}\ 09/20/2019}$."
"Today is the palindrome day of 2020, because the MMDDYYYY format of the date is the same backwards as forwards. What is the date a month ago in MM/DD/YYYY?
Options:
(A) 01/01/2020
(B) 01/02/2020
(C) 10/02/2019
(D) 11/05/2019
(E) 01/02/1931
(F) 01/03/2020",(B),"Since today's date is a palindrome, it must be in the form $ABCCBACBA$, where $A$, $B$, and $C$ are digits (note that $A$ cannot be zero). We know that $C$ must be 2 since the date is in January. Then $A$ and $B$ must be 0, 1, or 2. If $B$ were 2, then the date would be February 22, which is invalid since February only has 29 days in a leap year, and 2020 is a leap year. Therefore, $B$ is either 0 or 1.  Now, we can consider the date a month ago. If $B$ is 0, then the date would be 1220220, which is not a valid date. Therefore, $B$ must be 1, and the date would be 1212120. This corresponds to $\boxed{\textbf{(D) }11/05/2019}$."
"Tomorrow is 11/12/2019. What is the date one week from today in MM/DD/YYYY?
Options:
(A) 08/21/2019
(B) 11/18/2019
(C) 11/18/2025
(D) 11/18/2011
(E) 02/18/2020
(F) 11/04/2019",(B),"One week from 11/12/2019 is 11/19/2019. Therefore, the answer is (B) 11/18/2019."
"Jane scheduled 3 apointments with 5 poeple for tomorrow (Tue, 7/9/1972). What is the date tomorrow in MM/DD/YYYY?
Options:
(A) 07/09/1923
(B) 08/05/1972
(C) 09/01/1972
(D) 07/09/1972
(E) 07/09/2007
(F) 09/04/1972",(D),The date tomorrow is 07/09/1972 (option D) since that is given in the question.
"May 6, 1992 is like yesterday to Jane, but that is actually ten years ago. What is the date today in MM/DD/YYYY?
Options:
(A) 05/06/2095
(B) 05/06/1935
(C) 05/06/1912
(D) 08/06/2002
(E) 05/06/2002
(F) 05/06/1964",(E),"If May 6, 1992 was ten years ago, then the current year is 2002. Therefore, the answer is (E) 05/06/2002."
"Jane quited her job on Mar 20, 2020. 176 days have passed since then. What is the date tomorrow in MM/DD/YYYY?
Options:
(A) 09/13/2020
(B) 08/14/2020
(C) 09/13/2057
(D) 07/26/2020
(E) 10/04/2020
(F) 09/13/2084",(A),"We can start with March 20, 2020, and count forward 176 days. March has 31 days, April has 30 days, May has 31 days, June has 30 days, July has 31 days, and August has 31 days. The remaining days will be in September.   Here is the calculation:   March 20 - 31 = April 19 - 30 = May 19 - 31 = June 19 - 30 = July 19 - 31 = August 19 - 30 = September 18  So 176 days after March 20, 2020 will be September 18, 2020.   However, we need to find tomorrow's date, which is September 19, 2020.   Therefore, the answer is (A) 09/19/2020."
"Today is Sep 9, 1909. What is the date 10 days ago in MM/DD/YYYY?
Options:
(A) 08/29/1909
(B) 08/30/1967
(C) 08/30/1909
(D) 08/30/1977
(E) 08/02/1909
(F) 08/16/1909",(C),"To find the date 10 days ago, we subtract 10 days from September 9, 1909.   September has 30 days, so 10 days ago would be August 30, 1909.   Therefore, the answer is (C) 08/30/1909."
