"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((-1 + 2 + 9 * 5) - (-2 + -4 + -4 * -7)) =
A:",68,24
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((-9 * -5 - 6 + -2) - (-8 - -6 * -3 * 1)) =
A:",-163,63
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((3 * -3 * 6 + -5) - (-2 + -7 - 7 - -7)) =
A:",-4,-50
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((6 * -6 * 8 * 1) * (-1 * 7 * -6 + -2)) =
A:",-24192,-11520
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((-6 - -4 + 9 + 0) + (1 + -4 - -9 * 6)) =
A:",-53,58
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((-6 - 4 * 2 - 6) + (1 + -2 * 1 * 7)) =
A:",-29,-33
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((1 - 0 + 1 - 4) - (-3 * 1 - -6 * -8)) =
A:",53,49
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((1 + 7 * -9 + -5) + (3 + -5 * 2 - 6)) =
A:",-44,-80
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((-7 * -9 + 8 * -3) * (5 + -7 - 4 * -5)) =
A:",-1638,702
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((-9 - 1 * 5 * -5) - (6 + -3 - -1 * -7)) =
A:",-29,20
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((6 - 0 * 5 + -3) * (6 - -7 + -2 - -7)) =
A:",96,54
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((2 - -2 + -7 * 8) * (-7 * -8 * 3 - -2)) =
A:","-27,212",-8840
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((8 - 2 + -2 * 6) * (8 + -6 + -8 + -1)) =
A:",-480,42
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((-6 + -9 - -6 + -4) * (-1 - -6 + -4 - 3)) =
A:",147,26
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((-5 - 4 * -8 + 8) * (4 + 3 - 9 * 7)) =
A:",3016,-1960
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((-5 * -7 * -6 + 9) * (-2 - 8 + -5 + 7)) =
A:",-7840,1608
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((8 + 9 - 4 - -9) + (8 + 7 - 6 * 1)) =
A:",22,31
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((5 * -1 + -6 * -3) + (-1 + -8 - 5 + 3)) =
A:",-29,2
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((-6 - 6 + 7 - 7) - (5 + 3 - 9 * -8)) =
A:",555,-92
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((7 - 4 + -3 * 4) - (5 + -8 - 6 + -5)) =
A:",-7,5
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((-6 * -1 - 2 + -2) + (9 - 4 + -1 - 7)) =
A:",4,-1
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((8 * -6 + 6 * 1) - (-3 * 7 * 0 - 7)) =
A:",-49,-35
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((-6 - 8 - -7 * -2) - (-9 - 5 + 7 + 1)) =
A:",6,-22
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((1 - 7 - -8 * 3) + (-7 - -2 + -3 * 6)) =
A:",-33,-5
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((5 * -8 - -5 * -9) * (2 - -7 * 6 - 4)) =
A:","-20,790",-3400
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((6 + 1 - 4 - 3) - (-4 * -6 * -3 + 1)) =
A:",-401,71
"Solve multi-step arithmetic problems.

Q: ((-5 + 9 * -4 - 0) * (4 + -7 + 0 * -5)) =
A: 123

Q: ((-9 * 7 * 7 * -9) + (4 * -9 - 8 - -4)) =
A: 3929

Q: ((-3 + 5 * 8 * -4) - (9 - 8 * -7 + -9)) =
A: -219

Q: ((-9 - -9 + 0 + -3) + (-2 - -1 - 1 + 2)) =
A:",-17,-3
