"Alice, Bob, and Claire are friends and avid readers who occasionally trade books. At the start of the semester, they each buy one new book: Alice gets Ulysses, Bob gets Frankenstein, and Claire gets Lolita.
As the semester proceeds, they start trading around the new books. First, Claire and Bob swap books. Then, Bob and Alice swap books. Finally, Claire and Bob swap books. At the end of the semester, Bob has
Options:
(A) Ulysses
(B) Frankenstein
(C) Lolita",(B),"At the end of the first trade, Claire has Frankenstein and Bob has Lolita.  After the second trade, Alice has Lolita and Bob has Ulysses.  Finally, after the third trade, Claire has Ulysses and Bob has Frankenstein again.   Therefore, Bob has (B) Frankenstein at the end of the semester."
"Alice, Bob, and Claire are friends and avid readers who occasionally trade books. At the start of the semester, they each buy one new book: Alice gets Hound of the Baskervilles, Bob gets The Odyssey, and Claire gets Catch-22.
As the semester proceeds, they start trading around the new books. First, Claire and Alice swap books. Then, Bob and Claire swap books. Finally, Alice and Bob swap books. At the end of the semester, Alice has
Options:
(A) Hound of the Baskervilles
(B) The Odyssey
(C) Catch-22",(A),"At the end of the semester, Alice will have The Odyssey.   Here's why:   Claire starts with Catch-22 and swaps with Alice, so Alice has Catch-22 and Claire has Hound of the Baskervilles.   Then, Bob swaps with Claire, so Bob has Hound of the Baskervilles and Claire has The Odyssey.   Finally, Alice swaps with Bob, so Alice ends up with The Odyssey and Bob ends up with Catch-22."
"Alice, Bob, and Claire are friends and avid readers who occasionally trade books. At the start of the semester, they each buy one new book: Alice gets Frankenstein, Bob gets Catch-22, and Claire gets Ulysses.
As the semester proceeds, they start trading around the new books. First, Bob and Alice swap books. Then, Alice and Claire swap books. Finally, Claire and Bob swap books. At the end of the semester, Alice has
Options:
(A) Frankenstein
(B) Catch-22
(C) Ulysses",(C),Alice has Catch-22.
"Alice, Bob, and Claire are dancers at a square dance. At the start of a song, they each have a partner: Alice is dancing with Helga, Bob is dancing with Lola, and Claire is dancing with Ophelia.
Throughout the song, the dancers often trade partners. First, Alice and Bob switch partners. Then, Bob and Claire switch partners. Finally, Alice and Bob switch partners. At the end of the dance, Alice is dancing with
Options:
(A) Helga
(B) Lola
(C) Ophelia",(C),"At the start, Alice is dancing with Helga, and then she switches partners with Bob, who is dancing with Lola. This means that Alice is now dancing with Lola and Bob is dancing with Helga.  Next, Bob and Claire switch partners. Bob was dancing with Helga and Claire was dancing with Ophelia, which means that Bob is now dancing with Ophelia and Claire is dancing with Helga.  Finally, Alice and Bob switch partners again. Alice was dancing with Lola and Bob was dancing with Ophelia, so Alice is now dancing with Ophelia and Bob is dancing with Lola.  Therefore, at the end of the dance, Alice is dancing with Ophelia. The answer is (C)."
"Alice, Bob, and Claire are friends and avid readers who occasionally trade books. At the start of the semester, they each buy one new book: Alice gets Frankenstein, Bob gets The Odyssey, and Claire gets Lolita.
As the semester proceeds, they start trading around the new books. First, Alice and Claire swap books. Then, Bob and Alice swap books. Finally, Claire and Bob swap books. At the end of the semester, Bob has
Options:
(A) Frankenstein
(B) The Odyssey
(C) Lolita",(A),"At the end of the trades, Bob ends up with Alice's book, which is Frankenstein. Therefore, the answer is (A) Frankenstein."
"Alice, Bob, and Claire are friends and avid readers who occasionally trade books. At the start of the semester, they each buy one new book: Alice gets Catch-22, Bob gets Moby Dick, and Claire gets The Great Gatsby.
As the semester proceeds, they start trading around the new books. First, Claire and Bob swap books. Then, Claire and Alice swap books. Finally, Bob and Claire swap books. At the end of the semester, Alice has
Options:
(A) Catch-22
(B) Moby Dick
(C) The Great Gatsby",(B),"At the end of the swaps, Alice still has Catch-22, so the answer is (A) Catch-22."
"Alice, Bob, and Claire are dancers at a square dance. At the start of a song, they each have a partner: Alice is dancing with Izzi, Bob is dancing with Melissa, and Claire is dancing with Lola.
Throughout the song, the dancers often trade partners. First, Claire and Alice switch partners. Then, Bob and Claire switch partners. Finally, Alice and Bob switch partners. At the end of the dance, Alice is dancing with
Options:
(A) Izzi
(B) Melissa
(C) Lola",(A),"At the start, Alice is dancing with Izzi, so after the first partner switch, she is now dancing with Lola. Then, Bob and Claire switch partners, so Alice is now dancing with Melissa. Finally, Alice and Bob switch partners, so Alice ends up dancing with Lola again.   Therefore, the answer is (C) Lola."
"Alice, Bob, and Claire are friends and avid readers who occasionally trade books. At the start of the semester, they each buy one new book: Alice gets The Great Gatsby, Bob gets The Odyssey, and Claire gets Lolita.
As the semester proceeds, they start trading around the new books. First, Alice and Bob swap books. Then, Alice and Claire swap books. Finally, Bob and Claire swap books. At the end of the semester, Claire has
Options:
(A) The Great Gatsby
(B) The Odyssey
(C) Lolita",(A),"At the end of all the swapping, Claire still has Lolita. Therefore, the answer is (C) Lolita."
"Alice, Bob, and Claire are playing a game. At the start of the game, they are each holding a ball: Alice has a brown ball, Bob has a red ball, and Claire has a white ball.
As the game progresses, pairs of players trade balls. First, Claire and Bob swap balls. Then, Bob and Alice swap balls. Finally, Claire and Alice swap balls. At the end of the game, Bob has the
Options:
(A) brown ball
(B) red ball
(C) white ball",(A),"At the end of the game, Bob has the brown ball.   We can track the ball swaps for each player: - Claire starts with white ball, swaps with Bob to get red ball, swaps with Alice to get brown ball.  - Bob starts with red ball, swaps with Claire to get white ball, swaps with Alice to get brown ball.  - Alice starts with brown ball, swaps with Bob to get red ball, swaps with Claire to get white ball.   So by the end of all the swaps, Bob has ended up with the brown ball. Therefore, the answer is (A) brown ball."
"Alice, Bob, and Claire are playing a game. At the start of the game, they are each holding a ball: Alice has a yellow ball, Bob has a brown ball, and Claire has a green ball.
As the game progresses, pairs of players trade balls. First, Bob and Claire swap balls. Then, Bob and Alice swap balls. Finally, Bob and Claire swap balls. At the end of the game, Alice has the
Options:
(A) yellow ball
(B) brown ball
(C) green ball",(C),"At the end of the game, Alice will still have the yellow ball because she only swapped once with Bob and never with Claire. So, the answer is option (A) yellow ball."
