"Determine whether an artificially constructed sentence relating to sports is plausible or not.

Q: Is the following sentence plausible? ""Bam Adebayo scored a reverse layup in the Western Conference Finals.""
A: yes

Q: Is the following sentence plausible? ""Santi Cazorla scored a touchdown.""
A: no

Q: Is the following sentence plausible? ""DeMar DeRozan was called for the goal tend.""
A: yes

Q: Is the following sentence plausible? ""Elias Lindholm beat the buzzer.""
A:",yes,no
"Determine whether an artificially constructed sentence relating to sports is plausible or not.

Q: Is the following sentence plausible? ""Bam Adebayo scored a reverse layup in the Western Conference Finals.""
A: yes

Q: Is the following sentence plausible? ""Santi Cazorla scored a touchdown.""
A: no

Q: Is the following sentence plausible? ""DeMar DeRozan was called for the goal tend.""
A: yes

Q: Is the following sentence plausible? ""John Carlson scored in the third period.""
A:",yes,yes
"Determine whether an artificially constructed sentence relating to sports is plausible or not.

Q: Is the following sentence plausible? ""Bam Adebayo scored a reverse layup in the Western Conference Finals.""
A: yes

Q: Is the following sentence plausible? ""Santi Cazorla scored a touchdown.""
A: no

Q: Is the following sentence plausible? ""DeMar DeRozan was called for the goal tend.""
A: yes

Q: Is the following sentence plausible? ""Marcelo got on the end of a through ball.""
A:",yes,yes
"Determine whether an artificially constructed sentence relating to sports is plausible or not.

Q: Is the following sentence plausible? ""Bam Adebayo scored a reverse layup in the Western Conference Finals.""
A: yes

Q: Is the following sentence plausible? ""Santi Cazorla scored a touchdown.""
A: no

Q: Is the following sentence plausible? ""DeMar DeRozan was called for the goal tend.""
A: yes

Q: Is the following sentence plausible? ""Deshaun Watson was called for the goal tend in the Eastern Conference Finals.""
A:",no,no
"Determine whether an artificially constructed sentence relating to sports is plausible or not.

Q: Is the following sentence plausible? ""Bam Adebayo scored a reverse layup in the Western Conference Finals.""
A: yes

Q: Is the following sentence plausible? ""Santi Cazorla scored a touchdown.""
A: no

Q: Is the following sentence plausible? ""DeMar DeRozan was called for the goal tend.""
A: yes

Q: Is the following sentence plausible? ""Mookie Betts skated behind the net.""
A:",no,no
"Determine whether an artificially constructed sentence relating to sports is plausible or not.

Q: Is the following sentence plausible? ""Bam Adebayo scored a reverse layup in the Western Conference Finals.""
A: yes

Q: Is the following sentence plausible? ""Santi Cazorla scored a touchdown.""
A: no

Q: Is the following sentence plausible? ""DeMar DeRozan was called for the goal tend.""
A: yes

Q: Is the following sentence plausible? ""John Tavares earned a trip to the penalty box in the Stanley Cup.""
A:",Yes.,yes
"Determine whether an artificially constructed sentence relating to sports is plausible or not.

Q: Is the following sentence plausible? ""Bam Adebayo scored a reverse layup in the Western Conference Finals.""
A: yes

Q: Is the following sentence plausible? ""Santi Cazorla scored a touchdown.""
A: no

Q: Is the following sentence plausible? ""DeMar DeRozan was called for the goal tend.""
A: yes

Q: Is the following sentence plausible? ""David Silva took a throw in.""
A:",yes,yes
"Determine whether an artificially constructed sentence relating to sports is plausible or not.

Q: Is the following sentence plausible? ""Bam Adebayo scored a reverse layup in the Western Conference Finals.""
A: yes

Q: Is the following sentence plausible? ""Santi Cazorla scored a touchdown.""
A: no

Q: Is the following sentence plausible? ""DeMar DeRozan was called for the goal tend.""
A: yes

Q: Is the following sentence plausible? ""Bryce Harper hit the back shoulder fade.""
A:",no,no
"Determine whether an artificially constructed sentence relating to sports is plausible or not.

Q: Is the following sentence plausible? ""Bam Adebayo scored a reverse layup in the Western Conference Finals.""
A: yes

Q: Is the following sentence plausible? ""Santi Cazorla scored a touchdown.""
A: no

Q: Is the following sentence plausible? ""DeMar DeRozan was called for the goal tend.""
A: yes

Q: Is the following sentence plausible? ""Carles Puyol did a maradona on the defender.""
A:",Yes.,yes
"Determine whether an artificially constructed sentence relating to sports is plausible or not.

Q: Is the following sentence plausible? ""Bam Adebayo scored a reverse layup in the Western Conference Finals.""
A: yes

Q: Is the following sentence plausible? ""Santi Cazorla scored a touchdown.""
A: no

Q: Is the following sentence plausible? ""DeMar DeRozan was called for the goal tend.""
A: yes

Q: Is the following sentence plausible? ""Robin Lehner launched the desperation heave.""
A:",no,no
